id	name	url	priority	type	public_api	integration
48	NGO.pl – Praca i staż	https://ogloszenia.ngo.pl/praca-staz/dam-prace	A1	Portal branżowy	Niepotwierdzone	Partner/API jeśli dostępne; inaczej HTML po audycie ToS/robots
49	HoReCaPraca.pl	https://horecapraca.pl	A1	Portal branżowy	Niepotwierdzone	Partner/API jeśli dostępne; inaczej HTML po audycie ToS/robots
50	Kariera w Finansach	https://www.karierawfinansach.pl/praca	A0	Portal branżowy	Niepotwierdzone	Partner/API jeśli dostępne; inaczej HTML po audycie ToS/robots
51	Careers in Poland	https://www.careersinpoland.com	B	Portal branżowy	Niepotwierdzone	Partner/API jeśli dostępne; inaczej HTML po audycie ToS/robots
52	LinguaJob.pl	https://www.linguajob.pl	C	Portal branżowy	Niepotwierdzone	Partner/API jeśli dostępne; inaczej HTML po audycie ToS/robots
53	Skillshot.pl	https://www.skillshot.pl/jobs/	A0	Portal branżowy	Niepotwierdzone	Partner/API jeśli dostępne; inaczej HTML po audycie ToS/robots
54	TeamQuest	https://teamquest.pl/praca-w-it	A1	Agencja/portal branżowy	Niepotwierdzone	Partner/API jeśli dostępne; inaczej HTML po audycie ToS/robots
55	iPracujZdalnie.pl	https://ipracujzdalnie.pl	A1	Portal branżowy	Niepotwierdzone	Partner/API jeśli dostępne; inaczej HTML po audycie ToS/robots
56	OfertyPracy.edu.pl	https://ofertypracy.edu.pl	A0	Źródło oficjalne	Niepotwierdzone	Partner/API jeśli dostępne; inaczej HTML po audycie ToS/robots
57	KarieraBohatera.pl	https://karierabohatera.pl	A1	Portal branżowy	Niepotwierdzone	Partner/API jeśli dostępne; inaczej HTML po audycie ToS/robots
58	Pielęgniarki.info.pl – Oferty	https://www.pielegniarki.info.pl/oferty-pracy-dla-pielegniarek	B	Portal branżowy	Niepotwierdzone	Partner/API jeśli dostępne; inaczej HTML po audycie ToS/robots
59	Europa.jobs	https://europa.jobs/pl/oferty-pracy	A1	Portal branżowy	Niepotwierdzone	Partner/API jeśli dostępne; inaczej HTML po audycie ToS/robots
60	EURES	https://europa.eu/eures/portal/	A1	Źródło oficjalne/UE	API tylko dla uprawnionych partnerów EURES	Partnerstwo/API zgodnie z zasadami EURES
61	Academic Positions	https://academicpositions.com/find-jobs?regions=poland	B	Portal branżowy	Niepotwierdzone	Partner/API jeśli dostępne; inaczej HTML po audycie ToS/robots
62	AcademicJobs Poland	https://www.academicjobs.com/en-pl/jobs	C	Portal branżowy	Niepotwierdzone	Partner/API jeśli dostępne; inaczej HTML po audycie ToS/robots
63	Narodowe Centrum Nauki	https://www.ncn.gov.pl	B	Źródło oficjalne	Niepotwierdzone	Partner/API jeśli dostępne; inaczej HTML po audycie ToS/robots
64	Fundacja na rzecz Nauki Polskiej	https://www.fnp.org.pl	C	Źródło branżowe/publiczne	Niepotwierdzone	Partner/API jeśli dostępne; inaczej HTML po audycie ToS/robots
65	BDI – Bank Danych o Inżynierach	https://www.bdi.com.pl	A1	Portal/agencja branżowa	Niepotwierdzone	Partner/API jeśli dostępne; inaczej HTML po audycie ToS/robots
66	Antal	https://antal.pl	A1	Agencja	Niepotwierdzone	Partner/API jeśli dostępne; inaczej HTML po audycie ToS/robots
67	Grafton Recruitment	https://pl.grafton.com/pl/job-search	A1	Agencja	Niepotwierdzone	Partner/API jeśli dostępne; inaczej HTML po audycie ToS/robots
68	HRK	https://www.hrk.pl	B	Agencja	Niepotwierdzone	Partner/API jeśli dostępne; inaczej HTML po audycie ToS/robots
69	Devire	https://devire.pl	A1	Agencja	Niepotwierdzone	Partner/API jeśli dostępne; inaczej HTML po audycie ToS/robots
70	Synergie Poland (dawniej InterKadra)	https://www.synergie.pl/praca-w-polsce	A1	Agencja	Niepotwierdzone	Partner/API jeśli dostępne; inaczej HTML po audycie ToS/robots
71	Grupa Progres	https://grupaprogres.pl/oferty-pracy/	B	Agencja	Niepotwierdzone	Partner/API jeśli dostępne; inaczej HTML po audycie ToS/robots
72	Personnel Service	https://personnelservice.pl	B	Agencja	Niepotwierdzone	Partner/API jeśli dostępne; inaczej HTML po audycie ToS/robots
73	LeasingTeam	https://leasingteam.pl	B	Agencja	Niepotwierdzone	Partner/API jeśli dostępne; inaczej HTML po audycie ToS/robots
74	Trenkwalder Polska	https://pl.trenkwalder.com	B	Agencja	Niepotwierdzone	Partner/API jeśli dostępne; inaczej HTML po audycie ToS/robots
75	OTTO Work Force	https://www.ottoworkforce.pl	B	Agencja	Niepotwierdzone	Partner/API jeśli dostępne; inaczej HTML po audycie ToS/robots
76	Asistwork	https://praca.asistwork.pl	B	Agencja/portal	Niepotwierdzone	Partner/API jeśli dostępne; inaczej HTML po audycie ToS/robots
77	Jobsora Polska	https://pl.jobsora.com	B	Agregator	Niepotwierdzone	Partner/API jeśli dostępne; inaczej HTML po audycie ToS/robots
78	Talent.com Polska	https://pl.talent.com	C	Agregator	Niepotwierdzone	Partner/API jeśli dostępne; inaczej HTML po audycie ToS/robots
79	Adzuna Polska	https://www.adzuna.pl	A1	Agregator	Tak – REST API	API-first
80	Trovit Praca	https://praca.trovit.pl	C	Agregator	Niepotwierdzone	Partner/API jeśli dostępne; inaczej HTML po audycie ToS/robots
81	GoldenLine Praca	https://www.goldenline.pl/praca/	C	Sieć zawodowa/portal	Niepotwierdzone	Partner/API jeśli dostępne; inaczej HTML po audycie ToS/robots
82	Praca.eGospodarka.pl	https://praca.egospodarka.pl	C	Portal/agregator	Niepotwierdzone	Partner/API jeśli dostępne; inaczej HTML po audycie ToS/robots
83	Interia Praca	https://praca.interia.pl	C	Portal/agregator	Niepotwierdzone	Partner/API jeśli dostępne; inaczej HTML po audycie ToS/robots
84	JobisJob Polska	https://www.jobisjob.pl	C	Agregator	Niepotwierdzone	Partner/API jeśli dostępne; inaczej HTML po audycie ToS/robots
85	WhatJobs Polska	https://pl.whatjobs.com	C	Agregator	Niepotwierdzone	Partner/API jeśli dostępne; inaczej HTML po audycie ToS/robots
86	PracaProdukcja.pl	https://www.pracaprodukcja.pl	B	Portal branżowy	Niepotwierdzone	Partner/API jeśli dostępne; inaczej HTML po audycie ToS/robots
87	Werbeo	https://werbeo.pl	C	Portal branżowy	Niepotwierdzone	Partner/API jeśli dostępne; inaczej HTML po audycie ToS/robots
88	Sprawni w Pracy	https://sprawniwpracy.com	C	Portal branżowy	Niepotwierdzone	Partner/API jeśli dostępne; inaczej HTML po audycie ToS/robots
89	Integralia	https://integralia.pl	C	Fundacja/pośrednictwo	Niepotwierdzone	Partner/API jeśli dostępne; inaczej HTML po audycie ToS/robots
90	Fundacja Aktywizacja – praca	https://aktywizacja.org.pl	C	Fundacja/pośrednictwo	Niepotwierdzone	Partner/API jeśli dostępne; inaczej HTML po audycie ToS/robots
91	Poltalento	https://poltalento.pl	C	Portal branżowy	Niepotwierdzone	Partner/API jeśli dostępne; inaczej HTML po audycie ToS/robots
